Product Name,Price
"Orange - Nagpur, Regular (Loose)",₹59
Onion (Loose),₹118
Baby Apple Shimla,₹135
Potato,₹34
Carrot - Orange (Loose),₹11
Tomato - Local (Loose),₹36
Banana - Robusta,₹29
Cucumber,₹13
Capsicum - Green (Loose),₹24
Coriander Leaves,₹204.25
Ladies' Fingers (Loose),₹17
Beans - Haricot (Loose),₹22.5
Coconut - Medium,₹27
Banana - Yelakki,₹104
Tomato - Hybrid (Loose),₹10
"Apple - Shimla, Regular",₹237.99
Cauliflower,₹21
Beetroot (Loose),₹48
Pomegranate - Regular (Loose),₹272
"Palak - Cleaned, without roots",₹94.93
Broccoli,₹35.48
Mushrooms - Button,₹43
"Chilli - Green, Organically Grown (Loose)",₹15.57
Ginger (Loose),₹17
Cabbage (Loose),₹19
Mini Orange Imported (Loose),₹375
Tender Coconut,₹48
Watermelon -  Medium,₹63
Cucumber - English (Loose),₹33
Apple - Royal Gala Economy,₹145
Papaya,₹68
Pomegranate (Loose),₹255
Banana - Nendran,₹27
Bottle Gourd (Loose),₹24
Coccinia (Loose),₹13
Ginger - Organically Grown,₹97.09
Kiwi - Green,₹78
Lemon (Loose),₹20.5
Curry Leaves,₹121.18
Ridge Gourd,₹22
Sweet Corn (Loose),₹52.74
Drumstick/Moringa,₹201
Frozen Green Peas,₹198
"Pear - Green, Imported",₹278.08
Mosambi - Economy (Loose),₹50
Cut Roses Flower,₹159.82
Marigold Flower - Yellow,₹48.9
